Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Kommune,Lat,Lon,Sjøtemperatur
42,2017,33437,ÅDNAHOLMEN,,,,FINNØY,59.27807,5.777617,
42,2017,30196,ÅDNEKVAMME,,,,MASFJORDEN,60.83117,5.353233,
42,2017,35297,ÅDNØY SØ,,,,SANDNES,58.91455,6.028583,
42,2017,30977,ÆSØYA,,,,VESTVÅGØY,68.10487,13.79007,
42,2017,15196,AGA Ø,0,0.58,0.1,BØMLO,59.8451,5.261367,13.1
42,2017,10331,ÅKRE,0.16,1.15,0.02,KVINNHERAD,60.11243,6.042483,13
42,2017,12067,ALDALEN,0.19,0.33,0,OS I HORDALAND,60.24995,5.571917,10
42,2017,12982,ALDEØYNA,0.45,2.25,0.12,ASKVOLL,61.31025,4.76905,13.2
42,2017,10298,ÅLFORO,0.2,1.45,0.02,FITJAR,59.8665,5.244133,12.5
42,2017,11756,ALLERSHOLMEN,,,,AUSTRHEIM,60.77465,4.8536,
42,2017,13271,ALMURDEN,,,,FLATANGER,64.43324,10.68095,
42,2017,12086,ALSÅKERVIK,0,0.04,0,KVINNHERAD,59.7601,6.074183,14.4
42,2017,11416,ALSVÅG,,,,ØKSNES,68.9027,15.28675,
42,2017,13227,ALTANESET,0.05,0.19,0,FUSA,60.24712,5.63475,13.5
42,2017,11179,ALTEROSEN,,,,VÅGAN,68.20737,14.44687,10
42,2017,10319,ÅLVORA,,,,FLORA,61.58403,5.133633,
42,2017,11330,ÅMUNDSVIKA,0.37,1.13,0.12,GRATANGEN,68.72655,17.34348,9.9
42,2017,11513,ANDAL,0.16,0.83,0.12,BØMLO,59.63633,5.247717,13
42,2017,33457,ÅNDERBAKK,,,,STEIGEN,67.75468,15.70438,
42,2017,11339,ÅNDERKLEIVA,0.02,0.05,0.01,IBESTAD,68.92402,17.14982,10
42,2017,32277,ANDHOLMEN 1,0.33,0.95,0.02,SMØLA,63.46978,7.8556,12.3
42,2017,32297,ANDHOLMEN 2,0.3,0.76,0,SMØLA,63.46745,7.847167,12.2
42,2017,33257,ANDREGGRUNNEN,,,,FINNØY,59.23888,5.740617,
42,2017,30156,ANEVIK,0.08,0.11,0,STEIGEN,68.00592,15.26433,10.7
42,2017,13563,ANGELSKÅR,,,,OSTERØY,60.52442,5.3568,
42,2017,13518,ANGSTAUREN,,,,TROMSØ,69.69534,18.17027,
42,2017,32017,ÅNHOLMEN,0.03,0.06,0.03,FOSNES,64.7198,11.46168,10.8
42,2017,11793,ÅNNAHOLMANE,0.17,0.25,0.18,ASKVOLL,61.28427,4.725433,12.9
42,2017,29816,APALVIKNESET,0.45,0.98,0.2,JONDAL,60.14622,6.121133,13.05
42,2017,29416,ÅPENVIK,0.04,0.1,0.02,UNJARGGA-NESSEBY,70.02058,29.21533,6.4
42,2017,12085,APLAVIKA,0.02,0.07,0.02,KVAM,60.25865,6.055333,12.3
42,2017,11364,ÅRBERG,0.43,0.62,0.37,TORSKEN,69.1959,16.91595,10.7
42,2017,24695,ÅRNES,0,0.01,0,NAMSOS,64.5961,11.27342,11
42,2017,11119,ARNØYSUNDET,,,,GILDESKÅL,67.14978,13.991,
42,2017,10735,ÅRØYA,0.02,0.01,0.12,LYNGEN,69.66327,20.31492,9.4
42,2017,35797,ÅRSETFJORDEN,,,,NÆRØY,65.00819,11.74642,
42,2017,12668,ASTRIDHOLMEN,,,,NÆRØY,64.80798,11.54258,
42,2017,20496,ATLATVEIT,,,,FINNØY,59.22773,5.984233,
42,2017,14016,AUENES,,,,LILLESAND,58.14027,8.2553,14.4
42,2017,32077,AUKAN,,,,AURE,63.16227,8.309633,
42,2017,13254,AUKAN,0,0.2,0,AVERØY,63.0603,7.594283,12.1
42,2017,12988,AUKRASANDEN,0.45,0.95,0.05,AUKRA,62.78342,6.92605,12.83
42,2017,10870,AUNHOLMEN Ø,,,,VEVELSTAD,65.7061,12.62273,
42,2017,12357,AURSØYSVA,,,,FRØYA,63.80197,8.910767,
42,2017,10275,AUSKARNES Ø,,,,LOPPA,70.14145,22.3542,
42,2017,11800,AUSTNESTÅA,0.02,0.12,0.02,FLORA,61.49082,5.171167,12.43
42,2017,26795,AUSTVIKA,0,0.01,0.01,FLATANGER,64.41853,10.69603,11.86
42,2017,13572,BADSTUVIKA,0.03,0.1,0.07,HITRA,63.53398,9.1469,12.1
42,2017,12730,BÅFJORDEN,,,,NÆRØY,64.94988,11.5733,
42,2017,29016,BÅFJORDSTRANDA,,,,NÆRØY,64.96465,11.59273,
42,2017,13341,BAKJESTRANDA,,,,BREMANGER,61.81998,4.940183,
42,2017,19395,BAKKA,,,,KVAM,60.23498,6.006217,
42,2017,32537,BALTSFJORD,0.08,0.05,1.58,LENVIK,69.5463,17.7697,10.6
42,2017,13305,BARBOGEN,,,,TORSKEN,69.36843,17.0281,
42,2017,13873,BARLINGEBOTTEN,,,,MASFJORDEN,60.86308,5.364017,
42,2017,11749,BÅRØY,0.34,1.29,0.27,GULEN,60.94587,4.845383,13.8
42,2017,31877,BARØYA,,,,NAMSOS,64.62117,11.23413,
42,2017,10862,BÅSEN,,,,BINDAL,65.11767,12.32147,11.3
42,2017,18235,BASTLI,,,,HJELMELAND,59.2694,6.193083,
42,2017,13845,BEITVEIT,0.48,0.74,0.03,SELJE,62.14122,5.32675,13.37
42,2017,25055,BEKKSNESET,0,0.55,0.26,HYLLESTAD,61.07662,5.38595,12.54
42,2017,12095,BERGADALEN,0.04,1.1,0.11,KVAM,60.1216,5.908883,12.4
42,2017,20396,BERGSNES V,0,0.08,0,ALTA,70.22971,23.33612,8
42,2017,30397,BERGSØY,0,0.01,0.01,STEIGEN,67.897,15.15785,11.4
42,2017,13872,BERGSVIK,,,,MASFJORDEN,60.86295,5.3474,
42,2017,11241,BERGVIKODDEN,,,,HADSEL,68.57475,14.85088,
42,2017,11930,BJELKAVIK,0.14,0.46,0.07,SULDAL,59.45165,5.991917,12.7
42,2017,12178,BJØNNSPJOTNESET,0.01,0.08,0.03,HØYANGER,61.09808,5.82545,13.7
42,2017,31738,BJØRGA,,,,SØRREISA,69.15398,17.94842,
42,2017,12625,BJØRGAN,1.35,2.95,0.2,FLATANGER,64.59268,10.90833,12.1
42,2017,31317,BJØRKVIK,,,,TYSFJORD,68.02925,16.13142,
42,2017,22455,BJØRLYKKESTRANDA,0,0.04,0.13,VANYLVEN,62.16655,5.5954,13.2
42,2017,12308,BJØRNDAL,0.05,0.96,0.19,ØRSTA,62.27488,6.00285,13.2
42,2017,23436,BJØRNHOLMEN,0,0.12,0.42,SOLUND,61.20635,4.938083,13.9
42,2017,34997,BJØRNØYA,0.05,0.73,0.21,BODØ,67.4164,14.42867,12
42,2017,11340,BJØRNSTEIN,,,,IBESTAD,68.89236,17.11023,
42,2017,29458,BLÅMANNSVIK,,,,TROMSØ,69.73064,18.65358,
42,2017,19255,BLÅSENBORGNESET,,,,SØR-VARANGER,69.73305,30.1079,
42,2017,12156,BLOM,,,,OSTERØY,60.43658,5.564833,
42,2017,31857,BLOMSØRÅSA,,,,ALSTAHAUG,65.85637,12.31183,
42,2017,24915,BØBUKTA,,,,VEGA,65.66164,12.08392,
42,2017,11399,BOGELVA,,,,KVÆFJORD,68.6565,15.90035,
42,2017,10212,BOGEN,0.18,0.25,0,KRISTIANSUND,63.07767,7.90345,13.3
42,2017,12252,BOGEN MD,,,,MIDSUND,62.69082,6.868767,
42,2017,13209,BOGNØY,0.02,0.02,0.05,RADØY,60.60407,5.076983,13.1
42,2017,13284,BOLLHAUGEN,0.38,1,0.05,DØNNA,66.11311,12.48768,11.21
42,2017,13143,BONDEJORDA,0.12,0.18,2.23,LEBESBY,70.81695,27.56372,7.9
42,2017,10256,BONDØYA,0.09,0.35,0.3,VIKNA,64.8168,10.7427,10.9
42,2017,11248,BONHAMMAREN,0.35,0.37,0.07,BØ I NORDLAND,68.81738,14.7101,11
42,2017,11754,BØØY,,,,RADØY,60.72788,4.8641,
42,2017,37237,BØRFJORD,,,,HASVIK,70.64533,22.69432,
42,2017,15796,BORGARLIFLOT,0.07,0.15,0.28,SULDAL,59.3892,5.924733,12.4
42,2017,20876,BØRØYA,,,,ØKSNES,68.84438,14.85463,
42,2017,11230,BØRØYA SLAKTEMERD,,,,HADSEL,68.57418,14.95887,
42,2017,36417,BORVIKA,,,,HAMMERFEST,70.75667,23.4353,
42,2017,12040,BRANDASKUTA,0.2,0.9,0,KVINNHERAD,59.97573,5.909183,12.87
42,2017,34897,BRANDSFJORDEN,0,0.23,0.04,ROAN,64.22307,10.27993,11
42,2017,11488,BRATTAVIKA,0.03,0.43,0.05,AUSTEVOLL,60.04412,5.303317,13.3
42,2017,33137,BRATTBERG,,,,GRATANGEN,68.7131,17.4296,
42,2017,11015,BRATTHOLMEN,0.02,0.11,0.02,HERØY I NORDLAND,65.90735,12.22097,10.53
42,2017,13205,BRATTHOLMEN,0.03,0.83,0.33,SOLUND,61.06838,4.713817,12.66
42,2017,37157,BRATTVIKA II,,,,FLATANGER,64.38605,10.81572,
42,2017,12594,BREIDVIKA,,,,OSEN,64.29536,10.39748,
42,2017,11574,BREIVIK S,0,2.7,1.35,BØMLO,59.67118,5.31215,13.2
42,2017,15621,BREIVIKA,,,,RØDØY,66.58036,13.01564,
42,2017,28336,BREIVIKA,0,0.21,0.05,DØNNA,66.1609,12.68147,10.83
42,2017,32897,BREIVIKA S,0.01,0.13,0.01,DØNNA,66.1581,12.68202,10.83
42,2017,13765,BREIVIKEN,0.05,0.9,0.35,LURØY,66.46165,12.95803,11.5
42,2017,33237,BREIVOLL,,,,IBESTAD,68.75851,17.15258,
42,2017,36118,BREMNESØYA,0.18,0.26,0.02,SORTLAND,68.82377,15.40022,10.2
42,2017,10223,BREMNESSVAET,,,,SMØLA,63.39795,8.214317,12.84
42,2017,10674,BRENNELVBUKT,,,,UNJARGGA-NESSEBY,70.01514,29.2673,
42,2017,33637,BRENNEVINSGRUNNEN,,,,FINNØY,59.1833,5.66115,
42,2017,34197,BRENNHOLMEN,,,,HERØY I NORDLAND,65.97871,12.16355,
42,2017,37357,BRENSHOLMEN,,,,TROMSØ,69.57837,17.99427,
42,2017,12466,BRETTINGEN,0.27,0.48,0.02,SMØLA,63.3582,8.237267,12.57
42,2017,35677,BROTTØY,,,,HADSEL,68.4885,15.12592,
42,2017,12237,BRUDEVIKA,0.22,0.55,0,VANYLVEN,62.11657,5.420717,13.2
42,2017,13841,BRUNSVIK,0,0.39,0.03,VÅGSØY,61.91018,5.29085,12.5
42,2017,11435,BRYGGELANDSHOLMANE,0,0,0,HAUGESUND,59.42902,5.096417,13.2
42,2017,31038,BUARØY,0.17,0.34,0.01,SUND,60.22007,5.21455,12
42,2017,33537,BUHOLMEN,0,0.06,0.01,ROAN,64.1569,10.00892,11.8
42,2017,11543,BUHOLMEN,0.19,1.36,0.19,AUSTEVOLL,60.02092,5.081517,12.8
42,2017,11721,BUKKEHOLMEN,,,,SOLUND,61.09827,4.90485,
42,2017,27976,BUKKHOLMEN,,,,ALSTAHAUG,65.9184,12.24468,
42,2017,12361,BUKKHOLMEN S,,,,FRØYA,63.72368,8.8631,
42,2017,11087,BUKKØYA Ø,0.05,0.22,0.01,RØDØY,66.64097,12.99458,10.7
42,2017,11857,BUKSEVIKA,0,0.05,0.02,FLEKKEFJORD,58.2074,6.63505,14.04
42,2017,22035,BUKTODDEN NØ,0.13,0.16,0,RANA,66.30817,13.43233,10.5
42,2017,11162,BULLATHOLMEN,,,,HADSEL,68.43512,14.84808,
42,2017,12267,BYTTINGSNESET,,,,SKODJE,62.4437,6.566017,
42,2017,37217,DALE,,,,HARSTAD,68.92503,16.3452,
42,2017,12007,DALE II,0,0,0.03,RENNESØY,59.08215,5.71055,12.8
42,2017,32497,DALJORDA,0,0,0,SORTLAND,68.697,14.96338,10.1
42,2017,32457,DALSVÅG NV,,,,KARMØY,59.41082,5.21725,
42,2017,31137,DANIELSNES,0,0.01,0,LOPPA,70.19172,22.32102,9.4
42,2017,35957,DANIELSVIKA,0.12,0.16,0.94,KVALSUND,70.67102,24.48723,7.6
42,2017,15455,DAUMANNSVIKA,,,,SALTDAL,67.17802,15.40938,8.8
42,2017,37557,DAVATLUFT,0,0.05,0.38,ALTA,70.24665,22.88747,9.1
42,2017,10757,DÅVØYA,0.13,0.15,0.9,KARLSØY,70.0722,19.34107,10.3
42,2017,11076,DIGERMULEN,0,0,0,RØDØY,66.67648,13.31687,10.71
42,2017,12659,DIGERNESET,,,,NÆRØY,64.78657,11.72792,
42,2017,13229,DJUPEDALEN,,,,FUSA,60.23087,5.6733,
42,2017,21336,DJUPELEGET,0.2,0.4,0.39,HØYANGER,61.16942,5.807467,12.97
42,2017,14799,DJUPESTALLEN,0,0,0,TYSNES,60.05873,5.453,12.8
42,2017,10338,DJUPEVIK,,,,KVAM,60.4075,6.356717,
42,2017,10110,DJUPEVIK,,,,FINNØY,59.1474,5.863783,12.82
42,2017,26595,DJUPEVIKA,0.06,0.46,0.05,TYSNES,60.03582,5.342217,13.1
42,2017,20455,DJUPEVIKA,,,,KVINNHERAD,60.0406,6.010917,
42,2017,25135,DJUPEVIKA,,,,FLEKKEFJORD,58.21965,6.652167,
42,2017,11684,DJUPEVIKA I,,,,GULEN,60.96958,5.168283,
42,2017,37177,DJUPTAREN,,,,VIKNA,64.76917,10.62895,
42,2017,33117,DJUPVIK,,,,SORTLAND,68.60053,15.34487,
42,2017,30097,DJUPVIK,0.39,0.31,0.06,RØDØY,66.73299,13.33115,10.9
42,2017,34018,DOLMA N,,,,NÆRØY,65.02533,11.67602,
42,2017,10505,DRAGNES,0,0,0,HADSEL,68.58348,14.70622,10.8
42,2017,36917,DREVFLESA,0,0,0.01,ROAN,64.21093,10.11518,12.1
42,2017,35497,DRØNO,0,0.05,0,AUSTEVOLL,60.08077,5.192033,13.3
42,2017,32197,DRYNA,0.01,0.09,0,MIDSUND,62.6444,6.5568,12.8
42,2017,11644,DUESUND,0.22,1.63,0.73,MASFJORDEN,60.80857,5.295383,10.53
42,2017,35237,DURMÅLSVIKA,,,,LENVIK,69.4328,18.14773,
42,2017,13412,DYPEIDET,0.14,0.18,0.13,ØKSNES,68.82935,14.77602,11
42,2017,11381,DYPINGEN,,,,HARSTAD,68.96087,16.53042,
42,2017,21415,DYRHOLMEN,0.09,0.68,0.08,FINNØY,59.28548,5.8583,12.7
