runde_nr,parti_valgt_2013,omtaler_parti,kategori,andel,konfidensintervall_fra,konfidensintervall_til,N
1,FRP,KRF,Misliker,0.5134615,0.4703669,0.5563569,520
1,FRP,KRF,Nøytral,0.2596154,0.223626,0.2991649,520
1,FRP,KRF,Liker,0.2269231,0.1928411,0.2650506,520
2,FRP,KRF,Misliker,0.6060606,0.5545943,0.6552765,363
2,FRP,KRF,Nøytral,0.1707989,0.135331,0.2132696,363
2,FRP,KRF,Liker,0.2231405,0.1830667,0.269097,363
3,FRP,KRF,Misliker,0.5562579,0.5213413,0.5906275,791
3,FRP,KRF,Nøytral,0.2680152,0.2382326,0.3000544,791
3,FRP,KRF,Liker,0.1757269,0.150706,0.2039046,791
4,FRP,KRF,Misliker,0.655536,0.6153912,0.6935771,569
4,FRP,KRF,Nøytral,0.2073814,0.1759462,0.2427782,569
4,FRP,KRF,Liker,0.1370826,0.1111195,0.1679656,569
5,FRP,KRF,Misliker,0.6833977,0.641914,0.7221557,518
5,FRP,KRF,Nøytral,0.1988417,0.1665852,0.2355786,518
5,FRP,KRF,Liker,0.11776059999999999,0.0926359,0.1485838,518
6,FRP,KRF,Misliker,0.7157464,0.6739861,0.7541091,489
6,FRP,KRF,Nøytral,0.1820041,0.1501604,0.2188616,489
6,FRP,KRF,Liker,0.1022495,0.0782732,0.1325143,489
7,FRP,KRF,Misliker,0.713964,0.6699786,0.7542374,444
7,FRP,KRF,Nøytral,0.1869369,0.1532224,0.2260892,444
7,FRP,KRF,Liker,0.0990991,0.0744829,0.1307019,444
9,FRP,KRF,Misliker,0.6674817,0.6201631,0.7116463,409
9,FRP,KRF,Nøytral,0.207824,0.1710863,0.2500704,409
9,FRP,KRF,Liker,0.1246944,0.09593,0.1605521,409
1,FRP,AP,Misliker,0.6377649,0.5953411,0.6781456,519
1,FRP,AP,Nøytral,0.1522158,0.1237257,0.1858746,519
1,FRP,AP,Liker,0.2100193,0.177012,0.2473317,519
2,FRP,AP,Misliker,0.6260388,0.5746985,0.6746896,361
2,FRP,AP,Nøytral,0.1689751,0.1335994,0.2114319,361
2,FRP,AP,Liker,0.2049861,0.166288,0.2499896,361
3,FRP,AP,Misliker,0.5372946,0.5023467,0.5718798,791
3,FRP,AP,Nøytral,0.1845765,0.1590032,0.2132201,791
3,FRP,AP,Liker,0.278129,0.2479406,0.3104755,791
4,FRP,AP,Misliker,0.5633803,0.5221298,0.6037722,568
4,FRP,AP,Nøytral,0.1725352,0.1435548,0.2059592,568
4,FRP,AP,Liker,0.2640845,0.229355,0.302012,568
5,FRP,AP,Misliker,0.5600775,0.5167621,0.6024969,516
5,FRP,AP,Nøytral,0.1647287,0.1350719,0.1993959,516
5,FRP,AP,Liker,0.2751938,0.2382559,0.3154866,516
6,FRP,AP,Misliker,0.6290984,0.585169,0.6709913,488
6,FRP,AP,Nøytral,0.1536885,0.1242445,0.1886075,488
6,FRP,AP,Liker,0.2172131,0.1827382,0.2561534,488
7,FRP,AP,Misliker,0.6089888,0.5626508,0.6534411,445
7,FRP,AP,Nøytral,0.1707865,0.1384875,0.2087929,445
